=========================== Final Schedule ===========================
Vessel : 0
 5 | 168.0 | 11.0 | 179.0
 6 | 179.0 | 12.0 | 191.0
 8 | 191.0 | 6.0 | 197.0
 12 | 197.0 | 3.0 | 200.0
 14 | 200.0 | 5.0 | 205.0
 16 | 205.0 | 3.0 | 208.0
 20 | 208.0 | 4.0 | 212.0
 22 | 212.0 | 3.0 | 215.0
Vessel : 28
 0 | 43.0 | 5.0 | 48.0
 2 | 48.0 | 4.0 | 52.0
 4 | 52.0 | 7.0 | 59.0
 7 | 59.0 | 13.0 | 72.0
 10 | 72.0 | 6.0 | 78.0
 12 | 78.0 | 4.0 | 82.0
 14 | 82.0 | 5.0 | 87.0
 15 | 87.0 | 3.0 | 90.0
 18 | 90.0 | 3.0 | 93.0
 22 | 93.0 | 5.0 | 98.0
Vessel : 29
 1 | 51.0 | 5.0 | 56.0
 3 | 56.0 | 3.0 | 59.0
 5 | 59.0 | 4.0 | 63.0
 7 | 63.0 | 5.0 | 68.0
 10 | 68.0 | 7.0 | 75.0
 12 | 75.0 | 3.0 | 78.0
 14 | 78.0 | 4.0 | 82.0
 15 | 82.0 | 5.0 | 87.0
 17 | 87.0 | 3.0 | 90.0
 21 | 90.0 | 5.0 | 95.0
Vessel : 30
 0 | 39.0 | 4.0 | 43.0
 3 | 43.0 | 11.0 | 54.0
 5 | 54.0 | 6.0 | 60.0
 6 | 60.0 | 12.0 | 72.0
 8 | 72.0 | 13.0 | 85.0
 12 | 85.0 | 5.0 | 90.0
 14 | 90.0 | 3.0 | 93.0
 15 | 93.0 | 3.0 | 96.0
 17 | 96.0 | 4.0 | 100.0
 21 | 100.0 | 5.0 | 105.0
Vessel : 31
 1 | 83.0 | 5.0 | 88.0
 3 | 88.0 | 3.0 | 91.0
 5 | 91.0 | 4.0 | 95.0
 6 | 95.0 | 8.0 | 103.0
 8 | 103.0 | 12.0 | 115.0
 12 | 115.0 | 3.0 | 118.0
 14 | 118.0 | 3.0 | 121.0
 16 | 121.0 | 4.0 | 125.0
 20 | 125.0 | 5.0 | 130.0
 22 | 130.0 | 5.0 | 135.0
Vessel : 32
 1 | 164.0 | 4.0 | 168.0
 3 | 168.0 | 3.0 | 171.0
 5 | 171.0 | 3.0 | 174.0
 6 | 174.0 | 3.0 | 177.0
 9 | 177.0 | 4.0 | 181.0
 13 | 181.0 | 3.0 | 184.0
 14 | 184.0 | 4.0 | 188.0
 16 | 188.0 | 4.0 | 192.0
 19 | 192.0 | 5.0 | 197.0
 21 | 197.0 | 4.0 | 201.0
Vessel : 33
 0 | 66.0 | 3.0 | 69.0
 2 | 69.0 | 10.0 | 79.0
 4 | 79.0 | 9.0 | 88.0
 7 | 88.0 | 8.0 | 96.0
 10 | 96.0 | 10.0 | 106.0
 12 | 106.0 | 4.0 | 110.0
 14 | 110.0 | 3.0 | 113.0
 16 | 113.0 | 5.0 | 118.0
 20 | 118.0 | 4.0 | 122.0
 22 | 122.0 | 3.0 | 125.0
Vessel : 34
 0 | 19.0 | 3.0 | 22.0
 3 | 22.0 | 5.0 | 27.0
 5 | 27.0 | 5.0 | 32.0
 7 | 32.0 | 3.0 | 35.0
 11 | 35.0 | 9.0 | 44.0
 13 | 44.0 | 3.0 | 47.0
 14 | 47.0 | 3.0 | 50.0
 16 | 50.0 | 3.0 | 53.0
 20 | 53.0 | 5.0 | 58.0
 22 | 58.0 | 4.0 | 62.0
Vessel : 35
 0 | 170.0 | 10.0 | 180.0
 2 | 180.0 | 7.0 | 187.0
 4 | 187.0 | 5.0 | 192.0
 7 | 192.0 | 6.0 | 198.0
 10 | 198.0 | 8.0 | 206.0
 12 | 206.0 | 4.0 | 210.0
 14 | 210.0 | 3.0 | 213.0
 15 | 213.0 | 5.0 | 218.0
 18 | 218.0 | 4.0 | 222.0
 22 | 222.0 | 3.0 | 225.0
Vessel : 36
 0 | 25.0 | 5.0 | 30.0
 2 | 30.0 | 4.0 | 34.0
 4 | 34.0 | 3.0 | 37.0
 7 | 37.0 | 5.0 | 42.0
 10 | 42.0 | 9.0 | 51.0
 12 | 51.0 | 3.0 | 54.0
 14 | 54.0 | 4.0 | 58.0
 16 | 58.0 | 3.0 | 61.0
 20 | 61.0 | 4.0 | 65.0
 22 | 65.0 | 3.0 | 68.0
Vessel : 37
 1 | 32.0 | 5.0 | 37.0
 2 | 37.0 | 11.0 | 48.0
 4 | 48.0 | 4.0 | 52.0
 7 | 52.0 | 5.0 | 57.0
 11 | 57.0 | 6.0 | 63.0
 13 | 63.0 | 4.0 | 67.0
 14 | 67.0 | 3.0 | 70.0
 15 | 70.0 | 4.0 | 74.0
 17 | 74.0 | 5.0 | 79.0
 21 | 79.0 | 4.0 | 83.0
Vessel : 38
 1 | 78.0 | 5.0 | 83.0
 2 | 83.0 | 3.0 | 86.0
 4 | 86.0 | 5.0 | 91.0
 6 | 91.0 | 4.0 | 95.0
 8 | 95.0 | 6.0 | 101.0
 12 | 101.0 | 5.0 | 106.0
 14 | 106.0 | 4.0 | 110.0
 15 | 110.0 | 4.0 | 114.0
 18 | 114.0 | 4.0 | 118.0
 22 | 118.0 | 4.0 | 122.0
Vessel : 39
 1 | 128.0 | 3.0 | 131.0
 2 | 131.0 | 13.0 | 144.0
 4 | 144.0 | 8.0 | 152.0
 6 | 152.0 | 13.0 | 165.0
